Department,Group,Question,Guidance
Legal Services Unit (1005),Standard Submission,"Provide budget/financial implications: budget, expenditure, commitments, pending items, and explanations.","Submit: Budget allocation, actual expenditure, commitments, pending bills, and variance explanations."
Legal Services Unit (1005),Standard Submission,"Report on audit findings, legal/compliance matters, and corrective actions taken.","Submit: Audit issues, legal/compliance breaches, status of corrective actions (Closed/In Progress/Not Started)."
Government Communication Unit (1006),Standard Submission,"Provide a short narrative summary of achievements, challenges, and priorities for the year.","Submit: Narrative summary covering key events, successes, major obstacles, and forward-looking priorities."
Government Communication Unit (1006),Standard Submission,Provide the Target vs Actual Performance table with variance and status.,"Submit: KPI/Activity table with columns: Target, Actual, Variance, Status."
Government Communication Unit (1006),Standard Submission,List your key quantified achievements linked to supporting evidence.,Submit: A list of achievements with evidence references (file names or eOffice refs).
Government Communication Unit (1006),Standard Submission,"Identify major challenges, their impact, mitigation actions taken, and recommendations.","Submit: Challenge description, impact, mitigation, recommendations."
Government Communication Unit (1006),Standard Submission,"Provide budget/financial implications: budget, expenditure, commitments, pending items, and explanations.","Submit: Budget allocation, actual expenditure, commitments, pending bills, and variance explanations."
Government Communication Unit (1006),Standard Submission,"Report on audit findings, legal/compliance matters, and corrective actions taken.","Submit: Audit issues, legal/compliance breaches, status of corrective actions (Closed/In Progress/Not Started)."
Procurement Management Unit (1007),Standard Submission,"Provide a short narrative summary of achievements, challenges, and priorities for the year.","Submit: Narrative summary covering key events, successes, major obstacles, and forward-looking priorities."
Procurement Management Unit (1007),Standard Submission,Provide the Target vs Actual Performance table with variance and status.,"Submit: KPI/Activity table with columns: Target, Actual, Variance, Status."
Procurement Management Unit (1007),Standard Submission,List your key quantified achievements linked to supporting evidence.,Submit: A list of achievements with evidence references (file names or eOffice refs).
Procurement Management Unit (1007),Standard Submission,"Identify major challenges, their impact, mitigation actions taken, and recommendations.","Submit: Challenge description, impact, mitigation, recommendations."
Procurement Management Unit (1007),Standard Submission,"Provide budget/financial implications: budget, expenditure, commitments, pending items, and explanations.","Submit: Budget allocation, actual expenditure, commitments, pending bills, and variance explanations."
Procurement Management Unit (1007),Standard Submission,"Report on audit findings, legal/compliance matters, and corrective actions taken.","Submit: Audit issues, legal/compliance breaches, status of corrective actions (Closed/In Progress/Not Started)."
Monitoring and Evaluation Unit (1008),Standard Submission,"Provide a short narrative summary of achievements, challenges, and priorities for the year.","Submit: Narrative summary covering key events, successes, major obstacles, and forward-looking priorities."
Monitoring and Evaluation Unit (1008),Standard Submission,Provide the Target vs Actual Performance table with variance and status.,"Submit: KPI/Activity table with columns: Target, Actual, Variance, Status."
Monitoring and Evaluation Unit (1008),Standard Submission,List your key quantified achievements linked to supporting evidence.,Submit: A list of achievements with evidence references (file names or eOffice refs).
Monitoring and Evaluation Unit (1008),Standard Submission,"Identify major challenges, their impact, mitigation actions taken, and recommendations.","Submit: Challenge description, impact, mitigation, recommendations."
Monitoring and Evaluation Unit (1008),Standard Submission,"Provide budget/financial implications: budget, expenditure, commitments, pending items, and explanations.","Submit: Budget allocation, actual expenditure, commitments, pending bills, and variance explanations."
Monitoring and Evaluation Unit (1008),Standard Submission,"Report on audit findings, legal/compliance matters, and corrective actions taken.","Submit: Audit issues, legal/compliance breaches, status of corrective actions (Closed/In Progress/Not Started)."
Management Information Systems Unit (1009),Standard Submission,"Provide a short narrative summary of achievements, challenges, and priorities for the year.","Submit: Narrative summary covering key events, successes, major obstacles, and forward-looking priorities."
Management Information Systems Unit (1009),Standard Submission,Provide the Target vs Actual Performance table with variance and status.,"Submit: KPI/Activity table with columns: Target, Actual, Variance, Status."
Management Information Systems Unit (1009),Standard Submission,List your key quantified achievements linked to supporting evidence.,Submit: A list of achievements with evidence references (file names or eOffice refs).
Management Information Systems Unit (1009),Standard Submission,"Identify major challenges, their impact, mitigation actions taken, and recommendations.","Submit: Challenge description, impact, mitigation, recommendations."
Management Information Systems Unit (1009),Standard Submission,"Provide budget/financial implications: budget, expenditure, commitments, pending items, and explanations.","Submit: Budget allocation, actual expenditure, commitments, pending bills, and variance explanations."
Management Information Systems Unit (1009),Standard Submission,"Report on audit findings, legal/compliance matters, and corrective actions taken.","Submit: Audit issues, legal/compliance breaches, status of corrective actions (Closed/In Progress/Not Started)."
Minerals Division (2001),Standard Submission,"Provide a short narrative summary of achievements, challenges, and priorities for the year.","Submit: Narrative summary covering key events, successes, major obstacles, and forward-looking priorities."
Minerals Division (2001),Standard Submission,Provide the Target vs Actual Performance table with variance and status.,"Submit: KPI/Activity table with columns: Target, Actual, Variance, Status."
Minerals Division (2001),Standard Submission,List your key quantified achievements linked to supporting evidence.,Submit: A list of achievements with evidence references (file names or eOffice refs).
Minerals Division (2001),Standard Submission,"Identify major challenges, their impact, mitigation actions taken, and recommendations.","Submit: Challenge description, impact, mitigation, recommendations."
Minerals Division (2001),Standard Submission,"Provide budget/financial implications: budget, expenditure, commitments, pending items, and explanations.","Submit: Budget allocation, actual expenditure, commitments, pending bills, and variance explanations."
Minerals Division (2001),Standard Submission,"Report on audit findings, legal/compliance matters, and corrective actions taken.","Submit: Audit issues, legal/compliance breaches, status of corrective actions (Closed/In Progress/Not Started)."
Administration and Human Resources (1001),Organisational Profile & Strategy,"Submit the approved organisational profile, mandate, vision, mission, and structure.","Submit: Approved organisation structure, establishment records, circulars, official mandate documents."
Administration and Human Resources (1001),HR & Capacity Building,"Submit detailed HR data: staff establishment, filled/vacant posts, recruitment, transfers, retirements, deaths, promotions, gender profile, training, capacity gaps, welfare matters, staff claims, disciplinary matters, HIV/AIDS and NCD initiatives.","Submit: HR registers, approved establishment, training reports, PEPMIS reports, minutes, attendance sheets, welfare records, HoD certification."
Administration and Human Resources (1001),HR & Capacity Building,"Report on the risk of 'Shortage of skilled staff' including vacancy analysis, training plan, recruitment needs, and capacity gaps.","Submit: Vacancy analysis, training plan, recruitment needs, capacity gap assessment."
Administration and Human Resources (1001),"Governance, Risk & Compliance","Submit management meetings held, key decisions made, implementation progress, and pending decisions.","Submit: Meeting minutes, attendance registers, action trackers."
Administration and Human Resources (1001),"Governance, Risk & Compliance","Report on integrity, ethics, and compliance: Integrity initiatives, disciplinary matters, ethics compliance, fraud-prevention controls, and staff awareness activities.","Submit: Integrity committee records, training reports, disciplinary registers, compliance reports."
Administration and Human Resources (1001),HR & Capacity Building,"Report on low PEPMIS reporting compliance: PEPMIS reports, compliance status, training, and follow-up actions.","Submit: PEPMIS reports, compliance status, training, follow-up actions."
Finance and Accounts Unit (1002),Financial Governance,"Submit revenue collection data: targets, actual revenue, collection efficiency, variance explanations, arrears, and reconciliation with official systems.","Submit: MUSE/IFMS reports, revenue collection schedules, bank/treasury confirmations, reconciliation reports."
Finance and Accounts Unit (1002),Financial Governance,"Submit budget execution and variance analysis: releases, expenditure, commitments, payables, receivables, deposits, imprests, assets, WIP, and liabilities.","Submit: MUSE/IFMS reports, ledgers, bank confirmations, reconciliation statements, commitment register, pending bills."
Finance and Accounts Unit (1002),Financial Governance,"Submit financial statements and notes: Statement inputs, notes, disclosures, comparative figures, commitments, pending bills, assets, WIP, liabilities, and confirmations.","Submit: Financial statements, schedules, ledgers, confirmations, asset register, commitment register."
Finance and Accounts Unit (1002),Financial Governance,"Submit financial control environment: IPSAS compliance, reconciliations, financial risks, and financial reporting status.","Submit: Financial statements, ledgers, reconciliations, audit files, IPSAS disclosure schedules."
Finance and Accounts Unit (1002),Financial Governance,"Submit CAG Audit Issues and Responses: Audit issues, management responses, corrective actions, implementation status, and evidence for closure.","Submit: CAG report, management letter, audit action plan, supporting closure evidence."
Finance and Accounts Unit (1002),Financial Governance,"Report on the risk of 'Unreliable or untimely financial statements': Reconciliation status, reporting timetable, responsible officers, and audit trail.","Submit: Reconciliation status, reporting timetable, responsible officers, audit trail."
Finance and Accounts Unit (1002),Financial Governance,"Report on the risk of 'Inaccurate budgeting or weak budget execution': Budget variance analysis, reallocation records, and planning corrective action.","Submit: Budget variance analysis, reallocation records, planning corrective action."
Policy and Planning Division (1003),Organisational Profile & Strategy,"Submit the Minister's statement inputs: Sector priorities, strategic direction, major achievements, challenges, reforms, and forward-looking commitments.","Submit: Approved annual performance reports, sector statistics, speech inputs, communication clearance."
Policy and Planning Division (1003),Organisational Profile & Strategy,"Submit the Permanent Secretary's statement: Institutional performance, implementation of plans, revenue performance, infrastructure, reforms, HR capacity, controls, and priorities.","Submit: Consolidated performance report, management meeting records, certified inputs from all units."
Policy and Planning Division (1003),Organisational Profile & Strategy,"Submit strategy and performance overview: Strategic plan implementation, MTEF performance, annual plan results, KPIs, target vs actual, and variance explanations.","Submit: Strategic plan, annual plan, MTEF, quarterly implementation reports, KPI validation records."
Policy and Planning Division (1003),Organisational Profile & Strategy,"Submit strategic plan implementation status: Objectives implemented, activities completed, outputs delivered, delayed activities, and reasons.","Submit: Annual plan implementation report, performance dashboard, M&E validation notes."
Policy and Planning Division (1003),Organisational Profile & Strategy,"Submit governance and oversight report: Governance structures, committees, management decisions, implementation status, and unresolved governance issues.","Submit: Minutes, attendance sheets, decision registers, implementation follow-up reports."
Policy and Planning Division (1003),"Governance, Risk & Compliance","Submit the risk management framework: Risk register, risk ratings, controls, mitigation actions, residual risks, and unresolved high-risk items.","Submit: Risk register, action plans, M&E/risk review minutes, supporting evidence."
Policy and Planning Division (1003),"Governance, Risk & Compliance","Report on the risk of 'Outdated or incomplete risk register' with updated risk register, ratings, controls, residual risk, and action owners.","Submit: Updated risk register with ratings, controls, residual risk, and action owners."
Internal Audit Unit (1004),"Governance, Risk & Compliance","Submit the annual audit plan and charter: Scope coverage, number of planned audits vs completed.","Submit: Audit plan, audit reports, audit committee minutes."
Internal Audit Unit (1004),"Governance, Risk & Compliance","Submit key audit findings, recommendations, management responses, and implementation status.","Submit: Audit reports, management responses, action tracker, verification evidence."
Internal Audit Unit (1004),"Governance, Risk & Compliance","Submit internal controls and audit committee matters: Internal control findings, audit committee meetings, recommendations, and management responses.","Submit: Audit reports, audit committee minutes, management responses, follow-up tracker."
Internal Audit Unit (1004),"Governance, Risk & Compliance","Report on the risk of 'Internal audit independence or control weaknesses' including internal audit charter status, audit committee minutes, and management responses.","Submit: Internal audit charter, audit committee minutes, management responses."
Legal Services Unit (1005),"Governance, Risk & Compliance","Submit legal and regulatory reforms: Mining law amendments, regulations, directives, legal compliance, legal opinions, and regulatory implementation status.","Submit: Acts, regulations, legal opinions, circulars, gazette notices, implementation reports."
Legal Services Unit (1005),"Governance, Risk & Compliance","Submit litigation, claims, and contingent liabilities: Court cases, claims, probability of loss, provisions, contingent liabilities, legal commitments, and subsequent events.","Submit: Litigation register, case files, legal opinions, claims schedules, court documents."
Legal Services Unit (1005),"Governance, Risk & Compliance","Report on the risk of 'Poor enforcement of mining regulations' including legal reforms, enforcement records, compliance reports, and awareness activities.","Submit: Legal reforms, enforcement records, compliance reports, awareness activities."
Government Communication Unit (1006),Organisational Profile & Strategy,"Submit transparency, public disclosure, and stakeholder communication: Media engagement, public disclosure, stakeholder communication, publications, social media/website analytics, and feedback.","Submit: Media reports, website analytics, press releases, publications, stakeholder meeting records."
Government Communication Unit (1006),Organisational Profile & Strategy,"Report on the risk of 'Poor communication and stakeholder tension' including communication plan, stakeholder engagement log, and feedback handling.","Submit: Communication plan, stakeholder engagement log, feedback handling records."
Procurement Management Unit (1007),Infrastructure & Procurement,"Submit infrastructure projects: Major construction, office infrastructure, contract value, physical progress, financial progress, delays, and completion status.","Submit: Contracts, IPCs, completion certificates, site reports, procurement files, payment records."
Procurement Management Unit (1007),Infrastructure & Procurement,"Submit procurement of vehicles, equipment, contracts, and LPOs: Procurement plan implementation, tenders, contracts, LPOs, framework contracts, variations, guarantees, and delays.","Submit: APP, NeST reports, tender board minutes, contract files, LPOs, guarantees, delivery notes."
Procurement Management Unit (1007),Infrastructure & Procurement,"Submit Ministerial Tender Board matters: Tender board meetings, approvals, procurement decisions, contract awards, pending procurements, and procurement risks.","Submit: Tender board minutes, evaluation reports, approvals, contract award notices."
Procurement Management Unit (1007),"Governance, Risk & Compliance","Report on the risk of 'Leakage of tender information' including tender controls, confidentiality declarations, board minutes, and investigation reports.","Submit: Tender controls, confidentiality declarations, board minutes, investigation reports."
Procurement Management Unit (1007),"Governance, Risk & Compliance","Report on the risk of 'Delays in procurement' including delayed procurements, causes, impact, and mitigation plan.","Submit: Delayed procurements, causes, impact, mitigation plan."
Monitoring and Evaluation Unit (1008),Sector Performance & KPIs,"Submit KPI validation, project monitoring, data quality, and performance evidence.","Submit: M&E reports, field visit reports, data validation sheets, performance dashboards, evaluation reports, evidence validation notes."
Monitoring and Evaluation Unit (1008),Sector Performance & KPIs,"Report on the risk of 'Poor statistical data integrity' including data validation procedures, quality checks, methodology notes, and sign-offs.","Submit: Data validation procedures, quality checks, methodology notes, sign-offs."
Management Information Systems Unit (1009),ICT & Digital Transformation,"Submit ICT systems, digital transformation, and data security: Systems used, uptime, users supported, incidents, backups, cybersecurity, licences, digital projects, and data governance.","Submit: System inventory, incident logs, uptime reports, backup reports, licence register, user support logs, DR plan, ICT project reports."
Management Information Systems Unit (1009),ICT & Digital Transformation,"Submit Ministerial ICT Steering Committee matters: ICT governance decisions, ICT projects, system risks, digital transformation, and implementation status.","Submit: Committee minutes, project reports, ICT risk reports, implementation trackers."
Management Information Systems Unit (1009),ICT & Digital Transformation,"Report on the risk of 'Loss of data, downtime or system failure' including backup status, uptime, incident reports, DR arrangements, and cybersecurity controls.","Submit: Backup status, uptime, incident reports, DR arrangements, cybersecurity controls."
Minerals Division (2001),Sector Performance & KPIs,"Submit sector KPIs: GDP contribution, mineral production, mineral buying centres, trained miners, production statistics, training data, buying centres, licences, market performance, and validation.","Submit: Sector reports, Mining Commission/official records, M&E sign-off, data methodology notes."
Minerals Division (2001),Sector Performance & KPIs,"Submit small-scale mining and ASM development: ASM licences, training, loans, formalisation, safety, compliance, markets, and productivity support.","Submit: Training reports, licence schedules, loan schedules, attendance sheets, inspection reports, photos."
Minerals Division (2001),Sector Performance & KPIs,"Submit sustainability, ESG, and climate-related matters: Environmental management, rehabilitation, ASM safety, CSR, local content, climate-related risks, and financial implications.","Submit: Inspection reports, ESG schedules, CSR reports, environmental compliance records, risk register, financial schedules."
Minerals Division (2001),Sector Performance & KPIs,"Submit detailed mineral sector performance: Mining sector GDP contribution, mineral production (tonnages/value), mineral revenue, licences, mineral markets, ASM support, local content, CSR, value addition, strategic minerals, environmental management, rehabilitation, mining inspections, illegal mining, ESG/climate data.","Submit: Sector reports, inspection reports, licence schedules, mineral production records, CSR reports, local content reports, environmental compliance records, data methodology note."
Minerals Division (2001),Sector Performance & KPIs,"Report on the risk of 'Weak inter-agency coordination' including coordination meetings, stakeholder engagement records, and action plans.","Submit: Coordination meetings, stakeholder engagement records, action plans."
Minerals Division (2001),Sector Performance & KPIs,"Report on the risk of 'Informal/illegal mining operations' including inspection reports, enforcement actions, stakeholder awareness, and legal updates.","Submit: Inspection reports, enforcement actions, stakeholder awareness, legal updates."
Minerals Division (2001),Sector Performance & KPIs,"Report on the risk of 'Incomplete revenue data from mineral rights holders' including reconciled revenue and production data, data gaps, and corrective action.","Submit: Reconciled revenue and production data, data gaps, corrective action."
Minerals Division (2001),Sector Performance & KPIs,"Report on the risk of 'Mineral smuggling and revenue leakage' including control measures, enforcement reports, and risk mitigation actions.","Submit: Control measures, enforcement reports, risk mitigation actions."
Minerals Division (2001),Sector Performance & KPIs,"Report on the risk of 'Environmental pollution and mine rehabilitation issues' including inspection reports, rehabilitation plans, compliance letters, and ESG schedules.","Submit: Inspection reports, rehabilitation plans, compliance letters, ESG schedules."
Minerals Division (2001),Sector Performance & KPIs,"Report on the risk of 'Low ASM productivity' including training, loans, market access, safety support, and productivity indicators.","Submit: Training, loans, market access, safety support, productivity indicators."
